"","name","lat","lon","time","Rab.Obv","geometry","RabID","MST.time","Hour","DayOfYr","Date"
"74","Jai61",43.17144399,-116.194357,"2022-08-04T09:01:59Z","Jackrab",c(-116.194357, 43.17144399),74,2022-08-04 03:01:59,3,216,2022-08-04
"75","Jai7",43.16729302,-116.197653,"2022-08-03T06:32:24Z","Jackrab",c(-116.197653, 43.16729302),75,2022-08-03 00:32:24,0,215,2022-08-03
"76","Jai71",43.17537401,-116.187868,"2022-08-04T09:04:07Z","Jackrab",c(-116.187868, 43.17537401),76,2022-08-04 03:04:07,3,216,2022-08-04
"77","Jai8",43.15877197,-116.206062,"2022-08-03T06:34:48Z","Jackrab",c(-116.206062, 43.15877197),77,2022-08-03 00:34:48,0,215,2022-08-03
"78","Jai81",43.17998196,-116.171056,"2022-08-04T09:07:48Z","Jackrab",c(-116.171056, 43.17998196),78,2022-08-04 03:07:48,3,216,2022-08-04
"79","Jai9",43.227994,-116.220198,"2022-08-03T07:37:19Z","Jackrab",c(-116.220198, 43.227994),79,2022-08-03 01:37:19,1,215,2022-08-03
"80","Jai91",43.17773703,-116.164585,"2022-08-04T09:08:30Z","Jackrab",c(-116.164585, 43.17773703),80,2022-08-04 03:08:30,3,216,2022-08-04
"81","Jaib",43.39986702,-116.234359,"2022-08-02T03:45:21Z","Jackrab",c(-116.234359, 43.39986702),81,2022-08-01 21:45:21,21,213,2022-08-01
"82","Jaib1",43.392601,-116.234421,"2022-08-02T03:51:34Z","Jackrab",c(-116.234421, 43.392601),82,2022-08-01 21:51:34,21,213,2022-08-01
"83","Jaib10",43.31951701,-116.215631,"2022-08-04T07:38:35Z","Jackrab",c(-116.215631, 43.31951701),83,2022-08-04 01:38:35,1,216,2022-08-04
"84","Jaib101",43.26762096,-116.048434,"2022-08-05T07:18:39Z","Jackrab",c(-116.048434, 43.26762096),84,2022-08-05 01:18:39,1,217,2022-08-05
"85","Jaib102",43.36008601,-116.23443,"2022-08-08T07:11:50Z","Jackrab",c(-116.23443, 43.36008601),85,2022-08-08 01:11:50,1,220,2022-08-08
"86","Jaib11",43.214633,-115.984915,"2022-08-03T04:50:17Z","Jackrab",c(-115.984915, 43.214633),86,2022-08-02 22:50:17,22,214,2022-08-02
"87","Jaib110",43.37579504,-116.234464,"2022-08-04T07:29:13Z","Jackrab",c(-116.234464, 43.37579504),87,2022-08-04 01:29:13,1,216,2022-08-04
"88","Jaib111",43.31691602,-116.215289,"2022-08-04T07:39:06Z","Jackrab",c(-116.215289, 43.31691602),88,2022-08-04 01:39:06,1,216,2022-08-04
"89","Jaib112",43.214705,-115.983661,"2022-08-05T07:01:23Z","Jackrab",c(-115.983661, 43.214705),89,2022-08-05 01:01:23,1,217,2022-08-05
"90","Jaib113",43.272748,-116.058114,"2022-08-05T07:20:36Z","Jackrab",c(-116.058114, 43.272748),90,2022-08-05 01:20:36,1,217,2022-08-05
"91","Jaib114",43.39856599,-116.234389,"2022-08-08T06:54:36Z","Jackrab",c(-116.234389, 43.39856599),91,2022-08-08 00:54:36,0,220,2022-08-08
"92","Jaib115",43.36008601,-116.23443,"2022-08-08T07:12:30Z","Jackrab",c(-116.23443, 43.36008601),92,2022-08-08 01:12:30,1,220,2022-08-08
"93","Jaib116",43.370611,-116.234432,"2022-08-09T07:28:10Z","Jackrab",c(-116.234432, 43.370611),93,2022-08-09 01:28:10,1,221,2022-08-09
"94","Jaib117",43.21466301,-115.98465,"2022-08-11T07:20:32Z","Jackrab",c(-115.98465, 43.21466301),94,2022-08-11 01:20:32,1,223,2022-08-11
"95","Jaib118",43.25755103,-116.041418,"2022-08-12T07:47:21Z","Jackrab",c(-116.041418, 43.25755103),95,2022-08-12 01:47:21,1,224,2022-08-12
"96","Jaib12",43.31601698,-116.215095,"2022-08-04T07:39:24Z","Jackrab",c(-116.215095, 43.31601698),96,2022-08-04 01:39:24,1,216,2022-08-04
"97","Jaib121",43.28325002,-116.09164,"2022-08-05T07:25:12Z","Jackrab",c(-116.09164, 43.28325002),97,2022-08-05 01:25:12,1,217,2022-08-05
"98","Jaib122",43.36008601,-116.23443,"2022-08-08T07:20:10Z","Jackrab",c(-116.23443, 43.36008601),98,2022-08-08 01:20:10,1,220,2022-08-08
"99","Jaib13",43.31554198,-116.214969,"2022-08-04T07:39:34Z","Jackrab",c(-116.214969, 43.31554198),99,2022-08-04 01:39:34,1,216,2022-08-04
"100","Jaib131",43.28325002,-116.09164,"2022-08-05T07:28:28Z","Jackrab",c(-116.09164, 43.28325002),100,2022-08-05 01:28:28,1,217,2022-08-05
"101","Jaib132",43.36008601,-116.23443,"2022-08-08T07:21:28Z","Jackrab",c(-116.23443, 43.36008601),101,2022-08-08 01:21:28,1,220,2022-08-08
"102","Jaib14",43.29491897,-116.206988,"2022-08-04T07:42:37Z","Jackrab",c(-116.206988, 43.29491897),102,2022-08-04 01:42:37,1,216,2022-08-04
"103","Jaib141",43.28325002,-116.09164,"2022-08-05T07:29:26Z","Jackrab",c(-116.09164, 43.28325002),103,2022-08-05 01:29:26,1,217,2022-08-05
"104","Jaib142",43.36008601,-116.23443,"2022-08-08T07:22:12Z","Jackrab",c(-116.23443, 43.36008601),104,2022-08-08 01:22:12,1,220,2022-08-08
"105","Jaib15",43.28852903,-116.196015,"2022-08-04T07:43:57Z","Jackrab",c(-116.196015, 43.28852903),105,2022-08-04 01:43:57,1,216,2022-08-04
"106","Jaib151",43.28325002,-116.09164,"2022-08-05T07:32:45Z","Jackrab",c(-116.09164, 43.28325002),106,2022-08-05 01:32:45,1,217,2022-08-05
"107","Jaib152",43.36008601,-116.23443,"2022-08-08T07:22:20Z","Jackrab",c(-116.23443, 43.36008601),107,2022-08-08 01:22:20,1,220,2022-08-08
"108","Jaib16",43.28574498,-116.193515,"2022-08-04T07:46:34Z","Jackrab",c(-116.193515, 43.28574498),108,2022-08-04 01:46:34,1,216,2022-08-04
"109","Jaib161",43.28325002,-116.09164,"2022-08-05T07:32:54Z","Jackrab",c(-116.09164, 43.28325002),109,2022-08-05 01:32:54,1,217,2022-08-05
"110","Jaib162",43.36008601,-116.23443,"2022-08-08T07:22:41Z","Jackrab",c(-116.23443, 43.36008601),110,2022-08-08 01:22:41,1,220,2022-08-08
"111","Jaib17",43.28574498,-116.193515,"2022-08-04T07:48:08Z","Jackrab",c(-116.193515, 43.28574498),111,2022-08-04 01:48:08,1,216,2022-08-04
"112","Jaib171",43.28325002,-116.09164,"2022-08-05T07:33:03Z","Jackrab",c(-116.09164, 43.28325002),112,2022-08-05 01:33:03,1,217,2022-08-05
"113","Jaib172",43.36102101,-116.23443,"2022-08-08T07:22:57Z","Jackrab",c(-116.23443, 43.36102101),113,2022-08-08 01:22:57,1,220,2022-08-08
"114","Jaib18",43.28574498,-116.193515,"2022-08-04T07:52:15Z","Jackrab",c(-116.193515, 43.28574498),114,2022-08-04 01:52:15,1,216,2022-08-04
"115","Jaib181",43.28325002,-116.09164,"2022-08-05T07:34:31Z","Jackrab",c(-116.09164, 43.28325002),115,2022-08-05 01:34:31,1,217,2022-08-05
"116","Jaib182",43.36102101,-116.23443,"2022-08-08T07:26:09Z","Jackrab",c(-116.23443, 43.36102101),116,2022-08-08 01:26:09,1,220,2022-08-08
"117","Jaib19",43.28574498,-116.193515,"2022-08-04T07:54:04Z","Jackrab",c(-116.193515, 43.28574498),117,2022-08-04 01:54:04,1,216,2022-08-04
"118","Jaib191",43.36008601,-116.23443,"2022-08-08T07:26:18Z","Jackrab",c(-116.23443, 43.36008601),118,2022-08-08 01:26:18,1,220,2022-08-08
"119","Jaib2",43.34261703,-116.233715,"2022-08-02T03:59:46Z","Jackrab",c(-116.233715, 43.34261703),119,2022-08-01 21:59:46,21,213,2022-08-01
"120","Jaib20",43.28574498,-116.193515,"2022-08-04T07:58:36Z","Jackrab",c(-116.193515, 43.28574498),120,2022-08-04 01:58:36,1,216,2022-08-04
"121","Jaib201",43.36008601,-116.23443,"2022-08-08T07:26:25Z","Jackrab",c(-116.23443, 43.36008601),121,2022-08-08 01:26:25,1,220,2022-08-08
"122","Jaib21",43.21454499,-115.991927,"2022-08-03T04:52:37Z","Jackrab",c(-115.991927, 43.21454499),122,2022-08-02 22:52:37,22,214,2022-08-02
"123","Jaib210",43.36844604,-116.234425,"2022-08-04T07:30:56Z","Jackrab",c(-116.234425, 43.36844604),123,2022-08-04 01:30:56,1,216,2022-08-04
"124","Jaib211",43.28574498,-116.193515,"2022-08-04T08:00:14Z","Jackrab",c(-116.193515, 43.28574498),124,2022-08-04 02:00:14,2,216,2022-08-04
"125","Jaib212",43.21456896,-115.988195,"2022-08-05T07:02:03Z","Jackrab",c(-115.988195, 43.21456896),125,2022-08-05 01:02:03,1,217,2022-08-05
"126","Jaib213",43.38166798,-116.234487,"2022-08-08T06:56:48Z","Jackrab",c(-116.234487, 43.38166798),126,2022-08-08 00:56:48,0,220,2022-08-08
