"","RabID","Rab.Obv","name","Date","Hour","DayOfYr","MST.time","lat","lon","geometry","SurveyNight"
"103",103,"Jackrab","Jaib141",2022-08-05,1,217,2022-08-05 01:29:26,43.28325002,-116.09164,c(-116.09164, 43.28325002),"4"
"104",104,"Jackrab","Jaib142",2022-08-08,1,220,2022-08-08 01:22:12,43.36008601,-116.23443,c(-116.23443, 43.36008601),"5"
"105",105,"Jackrab","Jaib15",2022-08-04,1,216,2022-08-04 01:43:57,43.28852903,-116.196015,c(-116.196015, 43.28852903),"3"
"106",106,"Jackrab","Jaib151",2022-08-05,1,217,2022-08-05 01:32:45,43.28325002,-116.09164,c(-116.09164, 43.28325002),"4"
"107",107,"Jackrab","Jaib152",2022-08-08,1,220,2022-08-08 01:22:20,43.36008601,-116.23443,c(-116.23443, 43.36008601),"5"
"108",108,"Jackrab","Jaib16",2022-08-04,1,216,2022-08-04 01:46:34,43.28574498,-116.193515,c(-116.193515, 43.28574498),"3"
"109",109,"Jackrab","Jaib161",2022-08-05,1,217,2022-08-05 01:32:54,43.28325002,-116.09164,c(-116.09164, 43.28325002),"4"
"110",110,"Jackrab","Jaib162",2022-08-08,1,220,2022-08-08 01:22:41,43.36008601,-116.23443,c(-116.23443, 43.36008601),"5"
"111",111,"Jackrab","Jaib17",2022-08-04,1,216,2022-08-04 01:48:08,43.28574498,-116.193515,c(-116.193515, 43.28574498),"3"
"112",112,"Jackrab","Jaib171",2022-08-05,1,217,2022-08-05 01:33:03,43.28325002,-116.09164,c(-116.09164, 43.28325002),"4"
"113",113,"Jackrab","Jaib172",2022-08-08,1,220,2022-08-08 01:22:57,43.36102101,-116.23443,c(-116.23443, 43.36102101),"5"
"114",114,"Jackrab","Jaib18",2022-08-04,1,216,2022-08-04 01:52:15,43.28574498,-116.193515,c(-116.193515, 43.28574498),"3"
"115",115,"Jackrab","Jaib181",2022-08-05,1,217,2022-08-05 01:34:31,43.28325002,-116.09164,c(-116.09164, 43.28325002),"4"
"116",116,"Jackrab","Jaib182",2022-08-08,1,220,2022-08-08 01:26:09,43.36102101,-116.23443,c(-116.23443, 43.36102101),"5"
"117",117,"Jackrab","Jaib19",2022-08-04,1,216,2022-08-04 01:54:04,43.28574498,-116.193515,c(-116.193515, 43.28574498),"3"
