ID	lat	lon	ele	time	magvar	geoidheight	name	cmt	desc	src	sym	type	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	Proximity	Temperature	Depth	DisplayMode	Samples	Expiration	CreationTime
500	43.33699998	-116.21723	928.095947	2022-08-02T04:03:04Z			Junkni				"Flag, Blue"	user											SymbolAndName			2022-08-02T04:03:04Z
																										
Address																										
wptID	StreetAddress1	StreetAddress2	City	State	Country	PostalCode																				
																										
PhoneNumber																										
wptID	Category	value																								
																										
Categories																										
wptID	Category																									
																										
trk																										
ID	name	cmt	desc	src	number	type	DisplayColor																			
																										
trkseg																										
ID	trkID																									
																										
trkpt																										
ID	trksegID	lat	lon	ele	time	magvar	geoidheight	name	cmt	desc	src	sym	type	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	Temperature	Depth	wtemp	hr	cad	
