ID	lat	lon	ele	time	magvar	geoidheight	name	cmt	desc	src	sym	type	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	Proximity	Temperature	Depth	DisplayMode	Samples	Expiration	CreationTime
195	43.36008601	-116.23443	903.742188	2022-08-08T07:01:47Z			Jaib72				"Flag, Blue"	user											SymbolAndName			2022-08-08T07:01:47Z
196	43.32240298	-116.216981	950.862793	2022-08-04T07:37:52Z			Jaib8				"Flag, Blue"	user											SymbolAndName			2022-08-04T07:37:52Z
197	43.20616401	-116.011655	938.331665	2022-08-05T07:05:39Z			Jaib81				"Flag, Blue"	user											SymbolAndName			2022-08-05T07:05:39Z
198	43.36008601	-116.23443	903.742188	2022-08-08T07:05:06Z			Jaib82				"Flag, Blue"	user											SymbolAndName			2022-08-08T07:05:06Z
199	43.320249	-116.215913	951.637268	2022-08-04T07:38:14Z			Jaib9				"Flag, Blue"	user											SymbolAndName			2022-08-04T07:38:14Z
200	43.26066004	-116.045294	960.314819	2022-08-05T07:17:35Z			Jaib91				"Flag, Blue"	user											SymbolAndName			2022-08-05T07:17:35Z
201	43.36008601	-116.23443	903.742188	2022-08-08T07:05:15Z			Jaib92				"Flag, Blue"	user											SymbolAndName			2022-08-08T07:05:15Z
202	43.33702002	-116.217925	933.610352	2022-08-03T09:52:06Z			Jaie				"Flag, Blue"	user											SymbolAndName			2022-08-03T09:52:06Z
203	43.33942504	-116.226006	938.238403	2022-08-03T09:53:23Z			Jaie1				"Flag, Blue"	user											SymbolAndName			2022-08-03T09:53:23Z
204	43.25778203	-116.041837	944.424622	2022-08-09T09:50:00Z			Jaie10				"Flag, Blue"	user											SymbolAndName			2022-08-09T09:50:00Z
205	43.21478798	-115.981101	930.15802	2022-08-04T10:38:22Z			Jaie11				"Flag, Blue"	user											SymbolAndName			2022-08-04T10:38:22Z
206	43.21122802	-115.998375	920.985901	2022-08-09T10:02:21Z			Jaie111				"Flag, Blue"	user											SymbolAndName			2022-08-09T10:02:21Z
207	43.21150303	-115.997951	919.940918	2022-08-09T10:02:30Z			Jaie12				"Flag, Blue"	user											SymbolAndName			2022-08-09T10:02:30Z
208	43.21455698	-115.990223	921.377808	2022-08-09T10:03:38Z			Jaie13				"Flag, Blue"	user											SymbolAndName			2022-08-09T10:03:38Z
209	43.21490902	-115.971254	919.922241	2022-08-09T10:05:55Z			Jaie14				"Flag, Blue"	user											SymbolAndName			2022-08-09T10:05:55Z
210	43.21491597	-115.97003	921.219177	2022-08-09T10:06:04Z			Jaie15				"Flag, Blue"	user											SymbolAndName			2022-08-09T10:06:04Z
211	43.28455299	-116.230572	997.832031	2022-08-09T09:32:22Z			Jaie16				"Flag, Blue"	user											SymbolAndName			2022-08-09T09:32:22Z
212	43.27951496	-116.132388	999.149109	2022-08-09T09:36:56Z			Jaie17				"Flag, Blue"	user											SymbolAndName			2022-08-09T09:36:56Z
213	43.21502401	-116.252984	971.819519	2022-08-11T09:50:53Z			Jaie18				"Flag, Blue"	user											SymbolAndName			2022-08-11T09:50:53Z
214	43.22192702	-116.247551	981.028931	2022-08-11T09:52:14Z			Jaie19				"Flag, Blue"	user											SymbolAndName			2022-08-11T09:52:14Z
215	43.35250097	-116.234414	914.267822	2022-08-03T09:55:57Z			Jaie2				"Flag, Blue"	user											SymbolAndName			2022-08-03T09:55:57Z
216	43.21485797	-115.978128	934.814026	2022-08-04T10:38:42Z			Jaie21				"Flag, Blue"	user											SymbolAndName			2022-08-04T10:38:42Z
217	43.27970498	-116.130718	994.577087	2022-08-09T09:37:07Z			Jaie22				"Flag, Blue"	user											SymbolAndName			2022-08-09T09:37:07Z
218	43.30872699	-116.213718	991.171387	2022-08-11T10:12:48Z			Jaie23				"Flag, Blue"	user											SymbolAndName			2022-08-11T10:12:48Z
219	43.35380302	-116.234421	908.968018	2022-08-03T09:56:11Z			Jaie3				"Flag, Blue"	user											SymbolAndName			2022-08-03T09:56:11Z
220	43.27962502	-116.086499	967.116882	2022-08-09T09:42:46Z			Jaie31				"Flag, Blue"	user											SymbolAndName			2022-08-09T09:42:46Z
221	43.35686702	-116.234349	927.134827	2022-08-11T10:19:43Z			Jaie32				"Flag, Blue"	user											SymbolAndName			2022-08-11T10:19:43Z
222	43.35767504	-116.234358	904.246643	2022-08-03T09:57:00Z			Jaie4				"Flag, Blue"	user											SymbolAndName			2022-08-03T09:57:00Z
223	43.27886101	-116.084727	967.704712	2022-08-09T09:42:58Z			Jaie41				"Flag, Blue"	user											SymbolAndName			2022-08-09T09:42:58Z
224	43.36019003	-116.234383	919.93158	2022-08-11T10:20:19Z			Jaie42				"Flag, Blue"	user											SymbolAndName			2022-08-11T10:20:19Z
225	43.36069898	-116.23442	905.515625	2022-08-03T09:57:33Z			Jaie5				"Flag, Blue"	user											SymbolAndName			2022-08-03T09:57:33Z
226	43.27745	-116.081799	966.762329	2022-08-09T09:43:24Z			Jaie51				"Flag, Blue"	user											SymbolAndName			2022-08-09T09:43:24Z
227	43.38075796	-116.234428	906.653992	2022-08-11T10:23:44Z			Jaie52				"Flag, Blue"	user											SymbolAndName			2022-08-11T10:23:44Z
228	43.382908	-116.234461	890.614502	2022-08-03T10:00:53Z			Jaie6				"Flag, Blue"	user											SymbolAndName			2022-08-03T10:00:53Z
229	43.27668699	-116.080805	966.818298	2022-08-09T09:43:45Z			Jaie61				"Flag, Blue"	user											SymbolAndName			2022-08-09T09:43:45Z
230	43.40243499	-116.234326	907.204529	2022-08-11T10:26:34Z			Jaie62				"Flag, Blue"	user											SymbolAndName			2022-08-11T10:26:34Z
231	43.21474699	-115.982476	930.046021	2022-08-04T10:38:12Z			Jaie7				"Flag, Blue"	user											SymbolAndName			2022-08-04T10:38:12Z
232	43.27432799	-116.064382	964.774841	2022-08-09T09:46:14Z			Jaie71				"Flag, Blue"	user											SymbolAndName			2022-08-09T09:46:14Z
233	43.28381103	-116.090099	977.835938	2022-08-05T09:43:41Z			Jaie8				"Flag, Blue"	user											SymbolAndName			2022-08-05T09:43:41Z
234	43.26326103	-116.046586	952.896912	2022-08-09T09:49:10Z			Jaie81				"Flag, Blue"	user											SymbolAndName			2022-08-09T09:49:10Z
235	43.35447298	-116.23443	906.621094	2022-08-08T10:05:38Z			Jaie9				"Flag, Blue"	user											SymbolAndName			2022-08-08T10:05:38Z
236	43.26114401	-116.045563	953.475403	2022-08-09T09:49:27Z			Jaie91				"Flag, Blue"	user											SymbolAndName			2022-08-09T09:49:27Z
